building_id,building_name_1,building_name_2,stories,number_of_units,year_built,building_sq_ft
891265,,,17,184,2009,
890853,,,21,,2008,
888817,ASTORIA,,10,96,2009,
357905,WALGREENS,,12,,1905,
837666,1000 Lake Shore Plaza,,55,,,
337459,NWU - LEVY MEYER HALL,,12,,1984,
814967,JOHNSON PUBLISHING,,12,,1971,137800
886005,1400 MUSEUM PARK,,33,,2007,
888822,,,27,260,2009,
886008,MICHIGAN AVENUE TOWER II,,28,,2007,
888825,,,60,,2009,
886006,1600 MUSEUM PARK,,32,268,,
888370,,,22,,2008,
866004,NWU - WARD MEMORIAL BUILDING,,20,,1926,
891792,,,26,198,2010,
333187,WATER TOWER PLACE,RITZ CARLTON HOTEL,74,,1976,230200
345729,LAKE SHORE PLAZA,,38,,1986,
254278,,,10,120,1930,
328974,200 EAST DELAWARE,,35,198,1974,
825051,840 North Lake Shore Drive,,27,,2004,
356082,CITICORP CENTER,,42,,1988,1998500
452133,,,21,120,1929,
443297,LAKE VILLAGE EAST,,26,,1957,
837328,,,10,140,1928,
350042,RIVER PLAZA,,51,,,
321282,,,13,,1974,
441110,,,11,288,1971,
358055,CIGNA,525 WEST MONROE,26,,1983,
361810,,,20,,1984,
314787,RITCHIE TOWER,,29,,1964,
358289,,,15,,1895,
382516,CHA,,22,,1957,
257055,,,19,107,1930,
55142,,,10,,1972,
316750,,,17,,1960,
254796,,,15,138,1973,43000
317644,,,10,28,1929,
308301,ALCOTT HOUSE,,28,,1960,
350525,SHERATON HOTEL & TOWERS,,31,,1991,627500
352488,UNITRIN,,41,,1961,
355506,PITTSFIELD BUILDING,,38,,1927,
302721,,,12,,1918,
55807,,,22,96,1968,
814415,RANDOLPH TOWER,,45,,1929,
351943,KPMG BUILDING,THREE ILLINOIS CENTER,29,,1979,935500
