primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
Naked as Nature Intended,1961,60,"Comedy,Documentary",4.2,210
Los Nadies,2014,94,Drama,6.2,25
Seemingly Perfect Family,2026,\N,Drama,5.7,54
Viaggio d'amore,1990,98,"Drama,Romance",5.9,76
Long Island Railroad Massacre,2013,91,"Crime,Documentary",5.9,157
The Tough and the Mighty,1969,97,"Action,Crime,Drama",6.5,164
Leonard Part 6,1987,85,"Action,Comedy,Sci-Fi",2.2,8860
Czukor Show,2010,80,"Comedy,Drama",6.4,226
Beqasoor,1950,\N,Drama,6.8,37
Challenge,1974,94,"Crime,Drama",5.1,63
Baptism of Fire,1940,90,Documentary,5.8,96
Rangoli,2023,130,"Drama,Family",7.1,1591
Crumbs: All at Stake,2014,87,"Comedy,Family",5.1,96
The Range,2006,85,Documentary,7.6,53
"The Loser, the Hero",1985,97,\N,8.3,7
Eisenzeit,1992,90,Documentary,6.9,18
Dark Web: Mystery Box,2020,\N,"Horror,Reality-TV",5.1,37
Journeys,2026,119,Documentary,9.0,16
Dalton's Dream,2023,90,"Biography,Documentary,Music",6.2,62
Anatomy of Hell,2004,77,Drama,4.4,6970
Bushido,1963,122,"Action,Drama",7.4,640
Dangerous Edge: A Life of Graham Greene,2013,56,"Biography,Documentary",7.4,114
Noi 4,2014,93,Comedy,6.1,268
Kaibutsu-kun: The Demon Sword,1982,52,"Animation,Comedy,Family",2.7,12
Um Caipira em Bariloche,1973,100,"Comedy,Drama",5.4,109
The Ballad of Narayama,1958,98,Drama,7.8,4151
36,2012,68,Drama,7.0,719
D-Effects,2014,90,Thriller,7.4,11
The Least Likely Candidate,2004,\N,"Comedy,Romance",8.7,29
Sin querer,1997,90,Drama,6.3,55
The House in the Country,1969,87,Comedy,4.5,71
Who Killed Soul Glow?,2012,90,"Comedy,Crime,Romance",5.7,29
En Skuespillers Kærlighed,1918,47,Drama,6.3,10
Games People Play: Hollywood,2004,\N,"Action,Adventure,Comedy",5.2,18
The Leech,1956,126,Drama,7.6,637
Fierce Friend,2006,104,Thriller,5.5,41
Keechak Vadha,1916,\N,"Drama,History,War",7.9,12
